familles,script,ast,nb_imports,nb_functions,read_hits,write_hits,states_detectes,dangers_detectes,verdict
BRAINCHEF,seragone_chef_orchestre_v1_state.py,OK,44,19,19,15,STATE.JSON|born_temps_state.json|btc_daily.csv|btc_daily_clean.csv|btc_usd.csv|btcdaily.csv|btcdailyclean.csv|btcusd.csv|chaines_epurees_state.json|chronometer_state.json|cycle_state.json|exhaustion_state.json|fear_greed.csv|fear_greed_complet.csv|feargreed.csv|funding_rate_btc.csv|fundingratebtc.csv|mondes_autonomes_state.json|mondes_communicants_state.json|nc_state.json|portance_state.json|q_jour_state.json|signaux_v13.csv|sp500_daily.csv|sp500daily.csv,,GARDER_CANON_DORMANT
BRAINCHEF,seragone_chef_orchestre_v2_state.py,OK,17,18,5,2,STATE.JSON|btc_daily.csv|btc_daily_clean.csv|btc_usd.csv|fear_greed.csv|funding_rate_btc.csv|sp500_daily.csv|state.json,,GARDER_CANON_DORMANT
SUBDAILY,subdaily_pipeline.py,OK,3,6,1,3,min.csv,,GARDER_CANON_DORMANT
SUBDAILY,subdaily_runner.py,OK,9,3,6,5,binance_oi_btcusdt_daily.csv|funding_rate_btc.csv|klines_1min.db|subdaily_state.json,ORDER|binance,NEPASBRANCHER
PARALLELES,t_import_mondes_paralleles.py,FAIL,0,0,6,6,,,A_REVOIR_HUMAIN
27D,test_27d_4approches.py,OK,5,2,2,0,couches_123_daily.csv|historique_27eq.csv,,TESTER_OFFLINE
PARALLELES,test_import_mondes_paralleles.py,OK,2,0,0,0,,,TESTER_OFFLINE
92MONDES,voix_seragone_92/adapter_seragone_92.py,OK,6,10,3,0,ajustement_combine_resultats.csv|base_propre_survivants.csv|eq22_historique.csv|modules_historique_complet.csv,,TESTER_OFFLINE
92MONDES,voix_seragone_92/ajustement_piste3.py,OK,4,4,3,1,ajustement_piste3_resultats.csv|comparaison_V9_vs_Seragone92.csv|fear_greed_complet.csv|modules_historique_complet.csv,,GARDER_CANON_DORMANT
92MONDES,voix_seragone_92/analyse_inversion_short.py,OK,3,0,2,1,analyse_inversion_short.csv|base_propre_survivants.csv|etiquetage_chutes.csv,,GARDER_CANON_DORMANT
92MONDES,voix_seragone_92/comparaison_toutes_approches.py,OK,3,2,5,1,comparaison_V9_vs_Seragone92.csv|comparaison_toutes_approches.csv|modules_historique_complet.csv|regle_raphael_resultats.csv|regle_raphael_v2_resultats.csv|regle_raphael_v3_finale.csv|signal_baisse_raphael_V9.csv|simulation_guardian_dynamique.csv,,GARDER_CANON_DORMANT
92MONDES,voix_seragone_92/comparaison_v9_sizing_final.py,OK,3,2,1,1,comparaison_V9_vs_Seragone92.csv|comparaison_v9_sizing_final.csv,,GARDER_CANON_DORMANT
92MONDES,voix_seragone_92/comparaison_v9_sizing_seragone.py,OK,3,2,2,1,comparaison_V9_vs_Seragone92.csv|comparaison_V9_vs_sizing_seragone.csv|signal_baisse_raphael_V9.csv,,GARDER_CANON_DORMANT
92MONDES,voix_seragone_92/compare_v9_vs_seragone92.py,OK,5,0,2,1,comparaison_V9_vs_Seragone92.csv|modules_historique_complet.csv|signal_baisse_raphael_V9.csv,,GARDER_CANON_DORMANT
92MONDES,voix_seragone_92/crash_guard_test.py,OK,3,5,1,1,crash_guard_test.csv|signal_baisse_raphael_V9.csv,,GARDER_CANON_DORMANT
92MONDES,voix_seragone_92/diag_avril_2024.py,OK,4,3,3,0,comparaison_V9_vs_Seragone92.csv|fear_greed_complet.csv|modules_historique_complet.csv,,TESTER_OFFLINE
92MONDES,voix_seragone_92/diag_nc_engine_labels.py,OK,3,1,3,0,comparaison_V9_vs_Seragone92.csv|modules_historique_complet.csv|nc_history_complet.csv,,TESTER_OFFLINE
92MONDES,voix_seragone_92/diag_nc_vs_V9.py,OK,5,3,6,0,bear40_historique.csv|early_warning_omori.csv|modules_historique_complet.csv|nc_history_complet.csv|signal_baisse_raphael.csv|signal_baisse_raphael_V9.csv,,TESTER_OFFLINE
92MONDES,voix_seragone_92/diag_nouveaux_modules.py,OK,2,0,6,0,.csv|bear40_historique.csv|binance_oi_btcusdt_daily.csv|derives_history.csv|derives_state.json|early_warning_omori.csv|features_22_historique.csv|funding_rate.csv|funding_rate_btc.csv|nc_history_complet.csv|open_interest.csv|signal_baisse_raphael_V9.csv|signal_baisse_raphael_V9_5.csv,Binance|binance,NEPASBRANCHER
92MONDES,voix_seragone_92/diagnostic_nc_seuils_glissants.py,OK,3,2,1,1,diagnostic_nc_seuils_glissants.csv|nc_history_complet.csv,,GARDER_CANON_DORMANT
92MONDES,voix_seragone_92/gardien_silencieux_backtest.py,OK,5,2,2,1,gardien_silencieux_backtest.csv|modules_historique_complet.csv|signal_baisse_raphael_V9.csv,,GARDER_CANON_DORMANT
92MONDES,voix_seragone_92/horloge_phi_modulation_v9.py,OK,4,4,1,1,horloge_phi_modulation_v9.csv|signal_baisse_raphael_V9.csv,,GARDER_CANON_DORMANT
92MONDES,voix_seragone_92/journees_des_tireurs.py,OK,3,8,2,1,bear40_historique.csv|comparaison_V9_vs_Seragone92.csv|journees_des_tireurs.csv,,GARDER_CANON_DORMANT
92MONDES,voix_seragone_92/mesure_reelle_seragone_trades.py,OK,3,3,1,3,comparaison_V9_vs_Seragone92.csv|trades_seragone_basic_complet.csv|trades_seragone_premium_complet.csv|trades_seragone_snipers_complet.csv,,GARDER_CANON_DORMANT
92MONDES,voix_seragone_92/mesure_village_complet.py,OK,4,2,3,1,comparaison_V9_vs_Seragone92.csv|fear_greed_complet.csv|modules_historique_complet.csv|village_complet.csv,,GARDER_CANON_DORMANT
92MONDES,voix_seragone_92/moteur_alerte_top_test.py,OK,3,2,4,1,fear_greed.csv|fear_greed_complet.csv|funding_rate_btc.csv|moteur_alerte_top_test.csv|signal_baisse_raphael_V9.csv,,GARDER_CANON_DORMANT
92MONDES,voix_seragone_92/nc_dyn_vs_v9.py,OK,3,2,2,1,nc_dyn_vs_v9.csv|nc_history_complet.csv|signal_baisse_raphael_V9.csv,,GARDER_CANON_DORMANT
